longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-121.83,37.25,17,2332,637.0,1636,623,3.1932,<1H OCEAN
-117.83,34.1,18,11026,1978.0,5407,1923,4.075,INLAND
-118.94,34.24,5,10018,1233.0,4253,1120,8.9063,<1H OCEAN
-117.97,33.86,34,2138,490.0,1682,463,3.6006,<1H OCEAN
-119.32,34.35,16,52,16.0,51,15,2.475,NEAR OCEAN
-121.99,37.36,32,1754,324.0,917,330,4.6761,<1H OCEAN
-122.38,37.76,52,248,68.0,124,51,1.4886,NEAR BAY
-122.46,37.74,52,2180,326.0,856,326,5.3961,NEAR BAY
-115.55,32.98,24,2565,530.0,1447,473,3.2593,INLAND
-118.29,34.18,10,4292,1075.0,2719,987,3.6974,<1H OCEAN
-118.54,34.22,34,2193,513.0,1299,497,3.6187,<1H OCEAN
-122.26,37.83,52,1656,420.0,718,382,2.6768,NEAR BAY
-117.24,32.85,18,3117,475.0,904,368,6.7587,NEAR OCEAN
-120.26,39.32,24,6012,1227.0,780,358,3.0043,INLAND
-117.23,34.12,6,4464,1093.0,2364,952,2.3848,INLAND
-117.89,34.12,35,1447,272.0,1224,268,3.9934,<1H OCEAN
-121.36,38.42,6,3254,465.0,1168,345,5.1811,INLAND
-121.22,37.8,13,335,89.0,247,77,1.6111,INLAND
-120.4,34.87,10,2197,329.0,1064,319,4.9766,<1H OCEAN
-121.2,38.67,10,3875,668.0,1632,593,4.6902,INLAND
-122.23,40.15,14,2297,573.0,1637,551,1.787,INLAND
-122.15,37.46,42,1995,412.0,794,374,5.6234,NEAR BAY
-121.42,37.71,7,8297,1433.0,4189,1271,4.3696,INLAND
-122.18,38.17,7,4093,651.0,2228,646,5.2523,NEAR BAY
-117.11,32.58,21,2894,685.0,2109,712,2.2755,NEAR OCEAN
-117.91,33.83,47,504,113.0,375,109,3.6607,<1H OCEAN
-117.37,33.94,14,9286,1269.0,3565,1238,6.6635,INLAND
-121.27,38.11,15,2039,384.0,1178,375,3.8672,INLAND
-122.36,40.68,28,1745,379.0,1011,370,2.0391,INLAND
-121.59,39.82,12,1958,369.0,875,354,2.3507,INLAND
-118.29,33.74,29,1503,411.0,1368,390,2.1473,NEAR OCEAN
-119.66,36.33,16,2048,373.0,1052,388,4.0909,INLAND
-117.04,32.98,16,1332,196.0,640,193,6.0226,<1H OCEAN
-117.17,34.05,29,4007,700.0,1576,696,3.1801,INLAND
-117.93,34.15,14,9610,2005.0,4723,1907,4.0393,INLAND
-118.19,33.95,41,1368,309.0,1244,312,3.0833,<1H OCEAN
-122.04,38.26,34,3082,702.0,1795,703,2.7885,INLAND
-119.73,34.43,27,1448,404.0,978,338,2.303,NEAR OCEAN
-120.25,38.04,22,4173,763.0,1086,444,2.5562,INLAND
-122.43,37.72,48,1289,280.0,782,235,3.6719,NEAR BAY
-122.7,38.36,11,5817,878.0,2538,876,4.221,<1H OCEAN
-121.5,38.54,44,1167,201.0,452,209,3.7344,INLAND
-118.04,34.08,35,1148,258.0,975,253,4.037,<1H OCEAN
-118.41,33.97,43,1464,224.0,581,232,6.2022,<1H OCEAN
-121.93,37.89,13,2085,292.0,852,264,7.3445,INLAND
-119.73,36.59,31,1551,296.0,1058,287,3.3438,INLAND
-117.01,32.77,34,3330,723.0,1592,656,2.6678,<1H OCEAN
-122.72,38.44,48,707,166.0,458,172,3.1797,<1H OCEAN
-119.04,36.09,15,2288,401.0,1238,429,3.0278,INLAND
-122.26,37.83,52,1443,311.0,660,292,3.0125,NEAR BAY
-118.13,34.03,42,2203,467.0,1470,488,2.8385,<1H OCEAN
-120.93,38.77,9,2229,355.0,788,341,5.5111,INLAND
-119.57,37.02,16,4199,794.0,2140,722,3.332,INLAND
-118.46,33.97,19,1658,427.0,648,378,3.8698,<1H OCEAN
-122.46,37.72,37,1833,388.0,1093,363,3.0703,NEAR OCEAN
-118.29,33.73,43,1854,519.0,1151,486,2.5759,NEAR OCEAN
-122.32,37.54,34,3661,692.0,1608,656,5.0774,NEAR OCEAN
-118.45,34.06,52,204,34.0,1154,28,9.337,<1H OCEAN
-122.25,37.53,16,4428,664.0,1677,623,7.6864,NEAR BAY
-118.2,34.21,40,1477,228.0,609,224,7.8375,<1H OCEAN
-122.03,37.33,23,4221,671.0,1782,641,7.4863,<1H OCEAN
-117.37,34.01,15,1386,247.0,703,185,3.6415,INLAND
-122.48,37.73,52,1597,240.0,566,231,5.1681,NEAR OCEAN
-120.72,37.38,22,1311,319.0,1455,340,2.2813,INLAND
-118.4,33.97,35,913,161.0,451,172,5.6169,<1H OCEAN
-122.19,40.2,30,2750,476.0,1296,464,3.5305,INLAND
-118.42,33.96,24,4393,966.0,1257,579,5.0714,<1H OCEAN
-122.14,37.72,45,1397,253.0,555,248,2.983,NEAR BAY
-121.87,37.1,20,1918,304.0,798,302,7.5755,<1H OCEAN
-122.42,37.77,52,2185,656.0,1266,626,2.7794,NEAR BAY
-117.25,34.53,13,5841,955.0,2455,915,4.1333,INLAND
-118.03,33.82,20,2662,464.0,1275,472,6.0162,<1H OCEAN
-118.2,33.86,27,2732,867.0,1690,794,2.6465,<1H OCEAN
-122.17,37.74,47,463,134.0,327,137,2.15,NEAR BAY
-121.9,37.4,16,2998,603.0,1606,615,3.7622,<1H OCEAN
-118.95,34.17,23,2630,404.0,1184,385,5.2955,<1H OCEAN
-122.24,37.85,52,1467,190.0,496,177,7.2574,NEAR BAY
-124.16,40.8,52,2416,618.0,1150,571,1.7308,NEAR OCEAN
-118.59,34.17,36,1887,359.0,761,329,5.4847,<1H OCEAN
-118.4,34.06,47,3652,967.0,1438,887,3.6964,<1H OCEAN
-118.28,34.05,41,1075,597.0,2260,614,1.3,<1H OCEAN
-122.37,37.95,32,1298,363.0,716,268,0.9797,NEAR BAY
-121.94,37.0,32,2210,426.0,1082,396,4.1587,NEAR OCEAN
-118.32,34.09,34,1478,675.0,1976,653,2.0557,<1H OCEAN
-117.83,33.77,26,4931,853.0,2249,818,4.275,<1H OCEAN
-119.67,36.83,3,2029,336.0,1003,340,4.4356,INLAND
-118.19,34.1,39,2054,423.0,1205,403,4.239,<1H OCEAN
-122.3,40.45,32,1286,271.0,694,236,1.6579,INLAND
-118.77,34.27,7,3074,794.0,1816,654,2.7137,<1H OCEAN
-120.38,39.82,10,1262,258.0,510,209,2.1667,INLAND
-118.02,33.92,35,2075,424.0,1312,396,3.7969,<1H OCEAN
-118.39,33.99,32,2612,418.0,1030,402,6.603,<1H OCEAN
-119.8,37.5,15,989,184.0,406,151,3.1771,INLAND
-118.3,33.83,33,2716,660.0,1807,661,3.5473,<1H OCEAN
-118.58,34.15,21,3856,547.0,1422,535,8.4196,<1H OCEAN
-121.52,38.53,31,3089,585.0,1366,561,4.2885,INLAND
-122.26,37.85,50,1120,283.0,697,264,2.125,NEAR BAY
-117.06,32.73,33,3444,619.0,1884,582,3.7891,NEAR OCEAN
-122.56,38.01,21,2144,400.0,840,398,4.6,NEAR BAY
-117.21,32.87,12,1428,303.0,528,269,4.1429,NEAR OCEAN
-122.42,37.66,36,725,121.0,335,140,4.125,NEAR OCEAN
-118.46,34.0,36,1392,260.0,679,247,4.7344,<1H OCEAN
-118.29,34.11,30,2774,570.0,1076,580,5.296,<1H OCEAN
-122.13,37.72,25,1134,153.0,340,171,6.5095,NEAR BAY
-117.66,33.58,6,4186,,1794,541,9.6986,<1H OCEAN
-118.09,33.74,44,1671,390.0,871,367,4.6369,NEAR OCEAN
-121.81,37.23,24,2413,369.0,1237,381,6.4328,<1H OCEAN
-118.18,34.12,29,2640,737.0,1795,655,2.369,<1H OCEAN
-118.47,34.01,41,2704,557.0,1047,478,4.4211,<1H OCEAN
-117.79,33.84,9,10484,1603.0,4005,1419,8.3931,<1H OCEAN
-117.22,33.36,16,3165,482.0,1351,452,4.605,<1H OCEAN
-117.06,32.58,13,3435,708.0,1761,699,3.4792,NEAR OCEAN
-121.3,37.97,52,2259,417.0,766,385,2.2981,INLAND
-118.22,34.19,31,4704,920.0,1895,886,4.9297,<1H OCEAN
-119.55,36.61,14,3004,793.0,3535,735,1.586,INLAND
-117.98,33.7,17,1997,340.0,952,341,4.4148,<1H OCEAN
-118.1,33.76,15,4690,1002.0,1879,974,5.6051,NEAR OCEAN
-117.79,33.88,17,8562,1351.0,3822,1316,6.0829,<1H OCEAN
-117.96,33.74,19,1783,415.0,1025,383,4.1484,<1H OCEAN
-121.93,37.29,36,2241,437.0,989,442,3.9625,<1H OCEAN
-118.12,33.77,20,4534,954.0,1941,892,6.0362,NEAR OCEAN
-118.3,33.93,40,2434,477.0,1646,453,3.2024,<1H OCEAN
-117.09,32.83,15,4138,636.0,2001,677,4.8419,<1H OCEAN
-121.44,38.51,27,7212,1606.0,4828,1549,2.214,INLAND
-117.12,32.57,35,1450,256.0,930,286,2.6715,NEAR OCEAN
-121.25,38.07,28,2103,422.0,1167,391,3.0592,INLAND
-119.35,36.52,39,3027,608.0,2199,592,2.6445,INLAND
-120.45,36.86,34,673,173.0,539,182,2.3523,INLAND
-120.98,38.34,27,3471,653.0,1793,600,3.5508,INLAND
-117.85,34.1,22,5179,944.0,2315,884,4.51,<1H OCEAN
-118.09,33.76,26,1625,440.0,533,414,1.808,<1H OCEAN
-117.12,34.21,19,4641,994.0,1334,474,4.5972,INLAND
-117.92,34.0,36,116,30.0,193,35,3.8125,<1H OCEAN
-121.57,39.16,18,1632,367.0,769,330,3.1029,INLAND
-122.11,37.88,37,4005,614.0,1602,606,6.4666,NEAR BAY
-116.21,33.72,28,2488,714.0,2891,676,2.3169,INLAND
-119.32,36.3,14,1680,343.0,931,350,2.7336,INLAND
-119.67,36.72,31,843,140.0,453,149,2.6875,INLAND
-117.31,34.02,18,1634,274.0,899,285,5.2139,INLAND
-119.76,36.71,29,1745,441.0,1530,391,1.5611,INLAND
-118.26,33.93,36,1102,247.0,702,225,1.5256,<1H OCEAN
-118.15,34.1,36,3514,818.0,2277,828,3.1211,<1H OCEAN
-118.23,34.16,31,3105,582.0,1359,547,5.1718,<1H OCEAN
-121.96,37.43,18,2514,578.0,2205,545,3.3859,<1H OCEAN
-118.1,34.06,31,2852,740.0,3100,725,2.9524,<1H OCEAN
-117.27,34.16,32,2894,427.0,1151,446,6.2236,INLAND
-117.15,34.22,10,1039,174.0,317,109,7.2371,INLAND
-118.21,34.04,43,1502,477.0,1844,477,1.9405,<1H OCEAN
-118.03,34.1,32,2668,609.0,1512,541,2.9422,INLAND
-118.09,34.06,31,1146,289.0,1163,258,2.2083,<1H OCEAN
-117.96,33.69,20,3123,441.0,1319,432,6.091,<1H OCEAN
-121.49,38.52,37,1902,413.0,955,384,3.1014,INLAND
-117.98,33.74,16,4636,908.0,2341,825,4.4261,<1H OCEAN
-118.46,33.99,41,885,285.0,562,268,3.1992,<1H OCEAN
-124.19,40.73,21,5694,1056.0,2907,972,3.5363,NEAR OCEAN
-121.86,37.36,31,1602,358.0,1179,354,4.4896,<1H OCEAN
-118.69,34.18,11,1177,138.0,415,119,10.0472,<1H OCEAN
-122.24,38.1,49,1851,356.0,849,307,2.9432,NEAR BAY
-121.22,38.58,25,394,94.0,155,83,2.233,INLAND
-119.09,35.3,3,2821,519.0,1353,495,3.6852,INLAND
-117.2,33.12,18,4372,736.0,1473,675,5.1194,NEAR OCEAN
-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,<1H OCEAN
-117.11,32.69,36,1421,367.0,1418,355,1.9425,NEAR OCEAN
-117.08,32.57,18,2203,544.0,1943,497,2.25,NEAR OCEAN
-121.91,37.44,19,2174,484.0,1645,484,5.0362,<1H OCEAN
-117.44,34.09,24,3477,831.0,2541,753,2.3682,INLAND
-122.26,38.11,52,793,216.0,505,194,1.9667,NEAR BAY
-117.77,34.07,36,2922,652.0,2392,629,2.8661,INLAND
-122.41,37.78,52,254,72.0,153,29,3.8625,NEAR BAY
-117.15,32.72,52,344,177.0,460,147,1.2292,NEAR OCEAN
-120.21,36.77,20,1745,348.0,1093,302,2.3194,INLAND
-118.54,34.17,34,2458,433.0,1034,373,5.6738,<1H OCEAN
-120.38,37.97,47,1060,219.0,496,205,2.5781,INLAND
-122.27,37.54,16,3913,565.0,1752,557,7.3644,NEAR BAY
-118.18,33.92,29,749,185.0,708,196,2.4583,<1H OCEAN
-122.48,37.85,42,6297,1307.0,2096,1205,6.4752,NEAR BAY
-117.06,34.03,27,1945,446.0,859,418,1.5203,INLAND
-115.59,32.79,8,2183,307.0,1000,287,6.3814,INLAND
-118.15,34.0,32,3218,739.0,2368,730,3.1406,<1H OCEAN
-118.6,34.08,40,866,181.0,399,176,6.91,<1H OCEAN
-117.74,33.62,16,4134,740.0,2103,745,5.6877,<1H OCEAN
-119.33,36.32,19,2778,431.0,1092,451,5.2561,INLAND
-121.96,37.58,15,3575,597.0,1777,559,5.7192,<1H OCEAN
-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,<1H OCEAN
-116.87,33.76,5,4116,761.0,1714,717,2.5612,INLAND
-122.41,37.8,52,2450,741.0,1415,664,2.8229,NEAR BAY
-121.23,37.95,36,811,168.0,514,152,2.625,INLAND
-122.13,37.47,25,1630,353.0,1546,371,5.0893,NEAR BAY
-120.51,36.55,20,1193,263.0,1274,241,1.9417,INLAND
-119.85,36.84,12,2272,304.0,840,305,8.9669,INLAND
-117.1,33.14,7,10665,2576.0,4917,2424,2.3171,<1H OCEAN
-115.55,32.98,33,2266,365.0,952,360,5.4349,INLAND
-119.29,36.3,20,1157,179.0,572,191,5.3495,INLAND
-117.08,34.02,20,3111,563.0,1453,538,3.3365,INLAND
-117.2,34.26,17,9419,1455.0,1382,459,6.2233,INLAND
-117.89,33.8,38,51,12.0,41,10,6.0224,<1H OCEAN
-121.94,37.29,20,710,188.0,363,176,4.0962,<1H OCEAN
-119.78,36.8,34,3426,623.0,1938,647,2.8994,INLAND
-117.95,33.95,29,4943,674.0,1913,641,6.8189,<1H OCEAN
-122.41,37.98,36,60,15.0,42,25,1.4583,NEAR BAY
-117.73,33.49,31,5112,778.0,1530,648,10.3983,<1H OCEAN
-121.32,37.97,46,2270,427.0,1097,453,3.3235,INLAND
-119.87,36.78,4,6102,1114.0,3406,1115,3.4213,INLAND
-118.11,34.06,14,2628,668.0,2208,574,2.9764,<1H OCEAN
-116.98,33.26,12,5898,1002.0,3129,945,4.7647,<1H OCEAN
-120.69,39.12,19,1048,262.0,493,184,2.2917,INLAND
-119.3,34.29,41,1445,410.0,1052,388,2.6333,NEAR OCEAN
-120.84,37.07,24,1520,335.0,882,306,2.2019,INLAND
-118.85,35.23,26,1639,352.0,1222,395,1.7656,INLAND
-118.22,33.91,27,500,159.0,732,162,2.7426,<1H OCEAN
-120.41,37.16,21,1684,341.0,1052,312,2.0809,INLAND
-115.53,32.97,35,1583,340.0,933,318,2.4063,INLAND
-122.3,38.3,44,3690,809.0,1922,736,2.6346,NEAR BAY
-118.4,33.9,34,2674,435.0,1087,431,7.3151,<1H OCEAN
-120.7,35.55,10,3979,761.0,1834,671,3.5,<1H OCEAN
-118.4,34.16,45,1176,250.0,471,228,2.3333,<1H OCEAN
-118.32,33.88,34,1803,341.0,947,333,5.5538,<1H OCEAN
-118.31,33.94,44,1854,367.0,976,335,3.6583,<1H OCEAN
-118.14,34.19,49,1678,277.0,737,287,3.7222,INLAND
-117.8,33.67,5,2487,388.0,1147,397,8.284,<1H OCEAN
-122.07,37.06,31,1634,370.0,939,332,3.8625,NEAR OCEAN
-118.42,34.15,27,2795,602.0,1073,535,5.1496,<1H OCEAN
-121.35,38.01,15,2682,599.0,1520,601,3.5982,INLAND
-117.65,34.08,35,2621,391.0,1074,391,4.7176,INLAND
-122.52,37.93,34,2782,502.0,1219,507,5.0779,NEAR BAY
-117.28,34.16,35,2028,456.0,972,398,2.3778,INLAND
-117.25,33.22,26,2010,347.0,1160,331,3.9815,<1H OCEAN
-117.91,34.09,20,4327,1037.0,2296,963,3.0441,<1H OCEAN
-118.41,34.02,35,1728,442.0,1161,420,3.725,<1H OCEAN
-124.06,40.88,12,2087,424.0,1603,438,2.5667,NEAR OCEAN
-122.2,37.43,38,3626,528.0,1350,532,7.3681,NEAR OCEAN
-122.73,39.04,23,1618,395.0,425,244,1.9833,INLAND
-117.29,34.13,52,2424,528.0,1171,455,1.4815,INLAND
-116.95,33.75,23,4676,1096.0,2770,1057,1.7847,INLAND
-121.63,37.12,17,1830,398.0,1110,388,2.4821,<1H OCEAN
-122.2,37.76,37,2680,736.0,1925,667,1.4097,NEAR BAY
-117.33,34.05,26,613,149.0,431,130,1.3977,INLAND
-122.42,37.73,50,3426,769.0,2261,671,2.888,NEAR BAY
-122.42,37.76,37,1291,588.0,1846,557,1.3365,NEAR BAY
-117.27,33.02,21,2144,340.0,928,344,5.798,NEAR OCEAN
-121.86,38.0,4,4075,927.0,2239,849,3.5857,INLAND
-122.16,37.75,44,617,131.0,378,135,2.5568,NEAR BAY
-122.27,37.85,42,1639,367.0,929,366,1.7135,NEAR BAY
-117.57,34.02,5,6933,1311.0,3845,1285,4.6727,INLAND
-122.14,37.76,34,1513,231.0,545,211,5.5701,NEAR BAY
-121.65,39.53,23,1387,325.0,640,289,1.4833,INLAND
-119.26,36.3,18,3578,720.0,1540,640,2.425,INLAND
-121.22,37.81,20,1811,352.0,1191,327,4.0125,INLAND
-118.01,33.76,26,2141,597.0,2038,585,2.2981,<1H OCEAN
-120.79,37.76,14,3531,508.0,1505,497,5.5228,INLAND
-118.29,34.17,17,3852,1066.0,2986,993,2.3482,<1H OCEAN
-117.97,34.05,34,2050,495.0,1832,465,2.8333,<1H OCEAN
-117.04,32.55,15,2206,648.0,2511,648,1.6348,NEAR OCEAN
-120.45,34.64,30,2330,422.0,1255,449,3.8512,NEAR OCEAN
-117.92,33.74,18,1639,491.0,2513,458,2.1838,<1H OCEAN
-117.2,34.04,24,1587,222.0,676,234,6.0715,INLAND
-121.89,37.34,20,1106,494.0,851,448,0.8894,<1H OCEAN
-121.98,37.35,36,1054,193.0,546,187,4.5625,<1H OCEAN
-118.1,34.65,33,873,177.0,425,142,2.67,INLAND
-120.35,37.04,37,1495,292.0,858,275,2.9306,INLAND
-117.07,33.15,15,2994,522.0,1231,503,3.2024,<1H OCEAN
-121.31,38.57,22,1229,253.0,733,250,2.5,INLAND
-118.27,34.01,43,1235,385.0,1745,372,2.0817,<1H OCEAN
-122.21,37.8,39,2003,500.0,1109,464,3.0682,NEAR BAY
-117.76,34.11,22,4935,954.0,2874,938,3.9825,INLAND
-122.31,37.92,38,1250,236.0,631,279,3.724,NEAR BAY
-118.0,33.84,30,1549,325.0,885,299,4.0039,<1H OCEAN
-121.32,38.89,9,5927,1269.0,3369,1176,2.8194,INLAND
-117.13,32.73,43,2706,667.0,1531,614,2.1513,NEAR OCEAN
-122.19,37.71,36,361,69.0,158,58,5.5461,NEAR BAY
-122.26,37.83,52,2432,715.0,1377,696,2.5898,NEAR BAY
-122.44,37.78,52,2695,657.0,1243,573,2.8569,NEAR BAY
-121.98,37.54,17,5133,1375.0,3386,1339,3.1326,<1H OCEAN
-115.57,32.83,31,1494,289.0,959,284,3.5282,INLAND
-119.57,36.44,30,1860,337.0,1123,347,3.4926,INLAND
-118.42,37.36,18,2281,520.0,1425,465,1.7388,INLAND
-123.53,40.88,20,2680,599.0,918,345,2.2115,INLAND
-117.91,33.89,30,1631,212.0,523,216,7.875,<1H OCEAN
-120.95,37.57,29,1179,249.0,672,243,3.1125,INLAND
-117.37,33.19,18,975,382.0,650,286,1.9562,NEAR OCEAN
-118.19,33.84,24,1228,320.0,537,273,2.25,NEAR OCEAN
-121.89,37.35,48,1562,439.0,1469,424,2.5673,<1H OCEAN
-117.71,34.1,41,555,130.0,1492,123,2.2813,INLAND
-120.67,35.63,8,2690,410.0,1085,381,4.2841,<1H OCEAN
-122.45,37.78,48,1013,194.0,464,205,3.2011,NEAR BAY
-122.63,38.21,22,2933,461.0,1283,449,6.2034,<1H OCEAN
-118.16,33.79,25,5463,1265.0,3010,1179,3.233,NEAR OCEAN
-121.68,39.11,19,1366,220.0,596,203,4.0625,INLAND
-118.38,34.06,29,3946,1008.0,1676,876,2.7824,<1H OCEAN
-117.26,32.95,22,5484,1227.0,1947,1012,4.4375,NEAR OCEAN
-118.3,33.88,35,3227,749.0,1881,696,2.8445,<1H OCEAN
-115.22,33.54,18,1706,397.0,3424,283,1.625,INLAND
-122.22,38.1,40,2549,478.0,1275,494,2.9469,NEAR BAY
-117.92,33.79,26,2737,614.0,1877,606,2.8622,<1H OCEAN
-121.79,37.03,18,943,213.0,544,179,3.934,<1H OCEAN
-119.67,34.42,23,1333,393.0,1369,381,2.5947,<1H OCEAN
-117.81,33.67,9,2435,396.0,1194,385,7.2025,<1H OCEAN
-117.34,33.19,23,3546,553.0,1533,518,5.276,NEAR OCEAN
-119.64,36.35,23,3182,563.0,1525,585,3.8108,INLAND
-121.11,39.09,16,1000,197.0,508,190,2.3062,INLAND
-117.23,33.79,17,3318,759.0,2016,673,2.2969,INLAND
-122.31,37.52,24,2328,335.0,969,354,7.7364,NEAR OCEAN
-121.14,38.16,14,2591,497.0,1371,479,3.5774,INLAND
-118.58,34.2,35,1323,228.0,756,216,4.233,<1H OCEAN
-117.86,33.75,13,1632,598.0,3356,659,1.5054,<1H OCEAN
-121.66,39.09,27,2098,372.0,1090,333,4.45,INLAND
-121.63,39.76,22,2598,482.0,1151,490,2.8182,INLAND
-118.09,34.15,46,271,74.0,150,55,2.2321,INLAND
-118.47,34.24,19,2405,661.0,1855,621,2.3111,<1H OCEAN
-118.06,33.73,16,4392,602.0,1490,578,10.5424,<1H OCEAN
-121.86,37.41,16,1489,262.0,945,263,7.3861,<1H OCEAN
-118.39,34.05,25,2814,701.0,1139,658,4.0153,<1H OCEAN
-118.38,34.02,31,1893,450.0,819,426,4.3077,<1H OCEAN
-121.27,37.98,43,1005,200.0,492,172,2.6812,INLAND
-118.22,33.91,31,571,153.0,841,158,2.6154,<1H OCEAN
-118.39,34.04,45,2089,312.0,834,305,7.3028,<1H OCEAN
-118.04,33.83,20,1488,312.0,972,283,4.055,<1H OCEAN
-120.47,34.71,21,2535,383.0,1012,368,5.6177,NEAR OCEAN
-117.98,33.68,17,2603,373.0,1265,382,6.8039,<1H OCEAN
-117.96,33.76,22,2520,556.0,2126,527,3.7734,<1H OCEAN
-120.48,41.82,20,1367,284.0,429,181,2.0227,INLAND
-122.25,37.86,52,1587,444.0,878,449,1.7652,NEAR BAY
-118.03,34.06,24,2343,834.0,3537,824,2.1094,<1H OCEAN
-120.93,37.72,18,391,71.0,247,71,4.3864,INLAND
-117.3,34.05,7,4672,1121.0,2534,1046,3.4228,INLAND
-122.2,37.77,39,2689,597.0,1888,537,2.2562,NEAR BAY
-117.13,32.72,52,1560,307.0,757,315,2.7083,NEAR OCEAN
-122.27,37.84,52,2436,541.0,1015,478,1.725,NEAR BAY
-121.33,36.43,40,622,194.0,902,196,2.625,<1H OCEAN
-114.49,33.97,17,2809,635.0,83,45,1.6154,INLAND
-121.79,37.32,20,3034,451.0,1669,430,6.2742,<1H OCEAN
-116.94,34.4,20,6541,1401.0,2631,980,2.1339,INLAND
-122.42,37.76,46,2150,817.0,2075,807,1.3824,NEAR BAY
-117.66,34.11,19,3445,661.0,1635,580,5.0681,INLAND
-118.08,33.89,37,1152,259.0,981,225,3.2857,<1H OCEAN
-121.94,37.33,36,1893,359.0,797,360,3.6818,<1H OCEAN
-118.21,34.11,32,2759,499.0,1661,533,4.3812,<1H OCEAN
-123.84,39.83,19,1461,340.0,515,227,1.5278,NEAR OCEAN
-117.33,33.9,2,12837,1842.0,4636,1453,5.1512,INLAND
-118.37,33.99,32,4018,564.0,1400,568,8.6718,<1H OCEAN
-117.83,33.88,18,2112,340.0,1048,315,6.9308,<1H OCEAN
-122.82,38.41,32,701,182.0,489,168,2.785,<1H OCEAN
-121.29,38.07,21,1185,207.0,533,213,3.1917,INLAND
-119.01,35.33,32,3068,628.0,1897,607,2.4234,INLAND
-117.85,33.62,18,729,105.0,316,108,10.3893,<1H OCEAN
-121.45,38.61,32,2436,612.0,1509,618,1.0424,INLAND
-121.98,37.31,34,2034,359.0,1016,375,5.8127,<1H OCEAN
-118.03,33.85,23,5495,1141.0,2873,1004,3.9156,<1H OCEAN
-118.21,34.02,45,792,203.0,872,188,2.6875,<1H OCEAN
-117.24,32.78,44,2172,431.0,892,420,4.1742,NEAR OCEAN
-118.15,33.98,17,3361,925.0,3264,914,2.2813,<1H OCEAN
-117.19,34.08,5,4458,751.0,2392,773,4.5938,INLAND
-121.97,37.95,8,4253,709.0,1883,662,5.431,INLAND
-122.05,37.35,34,2494,375.0,1399,382,7.3753,<1H OCEAN
-118.16,33.72,29,2743,708.0,1059,651,3.625,NEAR OCEAN
-118.18,33.88,47,882,185.0,536,174,4.625,<1H OCEAN
-122.02,37.35,22,3219,756.0,1479,667,4.1473,<1H OCEAN
-122.03,37.37,16,3402,1193.0,1479,1043,3.5861,<1H OCEAN
-117.94,33.99,18,6100,1018.0,3112,982,4.9932,<1H OCEAN
-118.07,33.86,17,3666,562.0,2104,579,5.6818,<1H OCEAN
-122.61,41.74,15,4206,922.0,1863,869,2.0591,INLAND
-122.23,38.13,29,5154,1084.0,2459,1019,3.2664,NEAR BAY
-119.85,37.39,14,2744,555.0,1153,474,2.753,INLAND
-122.13,37.67,38,2012,347.0,880,332,3.1734,NEAR BAY
-122.28,37.89,52,2315,408.0,835,369,4.5893,NEAR BAY
-122.14,38.16,4,3273,495.0,1497,454,5.3345,NEAR BAY
-117.38,33.2,26,1427,386.0,974,317,1.3903,NEAR OCEAN
-119.73,36.68,32,755,205.0,681,207,1.7986,INLAND
-121.83,37.3,17,1299,211.0,825,217,4.5,<1H OCEAN
-117.14,33.07,12,9302,1603.0,4074,1504,4.3513,<1H OCEAN
-118.63,34.16,30,3346,487.0,1296,495,7.457,<1H OCEAN
-117.31,34.53,26,2299,496.0,1259,441,2.6125,INLAND
-122.55,37.99,34,3306,555.0,1398,585,4.8993,NEAR BAY
-122.64,41.95,18,1867,424.0,802,314,1.8242,INLAND
-118.26,34.01,43,2179,682.0,2624,609,1.8641,<1H OCEAN
-122.42,37.66,26,3253,932.0,2246,855,2.6631,NEAR OCEAN
-117.99,33.74,26,4065,741.0,1960,739,4.506,<1H OCEAN
-118.11,33.9,26,4173,893.0,2471,863,3.5052,<1H OCEAN
-118.2,33.96,41,1512,400.0,1690,367,3.055,<1H OCEAN
-122.71,38.34,23,2744,588.0,1493,557,3.1781,<1H OCEAN
-117.85,33.8,40,1461,286.0,1322,264,4.3269,<1H OCEAN
-122.82,38.39,32,1437,257.0,752,245,4.7422,<1H OCEAN
-118.35,34.0,40,2894,395.0,1063,409,6.939,<1H OCEAN
-122.29,37.82,49,135,29.0,86,23,6.1183,NEAR BAY
-118.38,33.98,25,7105,1012.0,2519,1004,6.8112,<1H OCEAN
-117.4,33.94,37,987,187.0,551,191,3.5865,INLAND
-122.44,37.79,52,2083,491.0,1224,483,4.0882,NEAR BAY
-120.0,38.92,26,529,116.0,191,83,3.5,INLAND
-121.17,38.71,15,3084,557.0,1040,562,2.5183,INLAND
-121.35,38.54,12,16239,3358.0,8656,3234,3.5691,INLAND
-118.86,34.22,22,1230,200.0,673,195,6.2708,<1H OCEAN
-116.96,32.81,8,2378,638.0,1410,623,2.9097,<1H OCEAN
-121.89,37.42,26,40,8.0,52,7,7.7197,<1H OCEAN
-119.71,34.43,47,1572,417.0,790,384,2.6429,<1H OCEAN
-118.39,34.15,29,917,181.0,379,183,3.4612,<1H OCEAN
-122.18,37.88,36,542,119.0,231,121,4.9,NEAR BAY
